City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Pacific Grove,US,2022-03-14 02:28:01,36.6177,-121.9166,58.21,81,0,5.75
156,Vardo,NO,2022-03-14 02:31:10,70.3705,31.1107,32.94,89,94,7.72
157,Longyearbyen,SJ,2022-03-14 02:31:11,78.2186,15.6401,35.44,75,75,16.11
158,Laguna De Duero,ES,2022-03-14 02:31:11,41.5815,-4.7233,42.4,82,0,6.91
159,Linares,CL,2022-03-14 02:31:12,-35.85,-71.6,65.64,35,0,2.89
160,Ouallam,NE,2022-03-14 02:31:12,14.3188,2.0866,78.01,18,35,11.14
161,Dikson,RU,2022-03-14 02:27:24,73.5069,80.5464,-5.13,98,100,16.2
162,Cabo San Lucas,MX,2022-03-14 02:30:20,22.8909,-109.9124,71.91,56,40,4.61
163,Thompson,CA,2022-03-14 02:26:33,55.7435,-97.8558,3.36,60,40,13.8
164,Svetlyy,RU,2022-03-14 02:31:13,54.675,20.1347,24.85,80,1,7.25
165,Riviere-Au-Renard,CA,2022-03-14 02:31:13,48.9957,-64.3971,10.69,75,16,18.61
166,Bathsheba,BB,2022-03-14 02:31:13,13.2167,-59.5167,77.61,73,40,19.57
167,Sao Jose Da Coroa Grande,BR,2022-03-14 02:31:13,-8.8978,-35.1478,79.12,82,100,5.82
168,Rabo De Peixe,PT,2022-03-14 02:31:14,37.8,-25.5833,54.28,86,75,6.91
169,Saint-Joseph,RE,2022-03-14 02:31:14,-21.3667,55.6167,73.78,84,100,11.79
170,Sarandi,BR,2022-03-14 02:31:14,-23.4436,-51.8739,69.35,100,100,5.75
171,Biltine,TD,2022-03-14 02:31:15,14.5333,20.9167,74.19,14,16,14.45
172,Xining,CN,2022-03-14 02:31:15,36.6167,101.7667,45.5,36,2,3.09
173,Aykhal,RU,2022-03-14 02:31:15,66.0,111.5,-9.29,90,43,3.4
174,Ponta Delgada,PT,2022-03-14 02:31:16,37.7333,-25.6667,55.51,62,75,6.91
175,Vangaindrano,MG,2022-03-14 02:31:16,-23.35,47.6,74.46,86,89,3.13
176,Saint Andrews,US,2022-03-14 02:31:16,34.0454,-81.1293,44.33,56,0,1.01
177,Lucapa,AO,2022-03-14 02:31:17,-8.4192,20.7447,61.3,97,98,1.43
178,Agadir,MA,2022-03-14 02:27:39,30.4202,-9.5982,59.45,91,95,6.2
179,Adrar,MR,2022-03-14 02:31:17,20.5022,-10.0711,65.23,24,0,9.75
180,Jumla,NP,2022-03-14 02:31:17,29.2747,82.1838,60.31,18,9,1.25
181,Sumbuya,SL,2022-03-14 02:31:18,7.6467,-11.9611,75.4,96,83,2.28
182,Gat,IL,2022-03-14 02:31:18,31.61,34.7642,48.07,100,80,7.87
183,Taoudenni,ML,2022-03-14 02:31:18,22.6783,-3.9836,71.49,11,0,3.98
184,Ust-Maya,RU,2022-03-14 02:31:19,60.4167,134.5333,8.87,86,100,1.12
185,Pevek,RU,2022-03-14 02:31:19,69.7008,170.3133,-9.6,95,96,3.62
186,Muros,ES,2022-03-14 02:31:19,42.7762,-9.0603,45.84,94,100,6.71
187,Kropotkin,RU,2022-03-14 02:31:19,45.4375,40.5756,27.46,62,17,4.9
188,Agadez,NE,2022-03-14 02:31:20,19.75,10.25,58.68,15,0,8.9
189,Marawi,PH,2022-03-14 02:31:20,7.9986,124.2928,80.78,69,22,3.76
190,La Ronge,CA,2022-03-14 02:31:20,55.1001,-105.2842,5.25,61,75,11.5
191,Richards Bay,ZA,2022-03-14 02:31:21,-28.783,32.0377,71.02,93,5,5.28
192,Namatanai,PG,2022-03-14 02:31:21,-3.6667,152.4333,85.68,59,62,8.52
193,Aktash,RU,2022-03-14 02:31:21,50.3,87.7333,19.04,82,100,2.71
194,Uwajima,JP,2022-03-14 02:31:22,33.2238,132.56,68.81,67,62,3.24
195,Betare Oya,CM,2022-03-14 02:31:22,5.6,14.0833,70.07,65,17,1.9
196,Tuatapere,NZ,2022-03-14 02:31:22,-46.1333,167.6833,63.55,68,81,9.1
197,Slave Lake,CA,2022-03-14 02:31:22,55.2834,-114.769,8.58,78,100,9.22
198,Marystown,CA,2022-03-14 02:31:23,47.1666,-55.1483,21.85,100,95,21.99
199,Miramar,US,2022-03-14 02:28:00,25.9873,-80.2323,70.03,62,75,11.5
200,Viedma,AR,2022-03-14 02:31:23,-40.8135,-62.9967,70.68,38,68,9.55
201,Fuyu,CN,2022-03-14 02:31:23,45.1833,124.8167,30.79,71,100,11.54
202,Moroni,KM,2022-03-14 02:31:24,-11.7022,43.2551,78.49,79,100,1.25
203,Komatipoort,ZA,2022-03-14 02:31:24,-25.4332,31.9548,71.33,84,51,2.51
204,Matagami,CA,2022-03-14 02:31:24,49.7502,-77.6328,14.11,92,100,2.3
205,Ithaca,US,2022-03-14 02:26:42,42.4406,-76.4966,30.02,78,100,6.91
