City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
519,Cairns,AU,82.06,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
520,Kavieng,PG,85.8,clear sky,-2.5744,150.7967,Nusa Island Retreat
526,Noumea,NC,84.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
531,Ciudad Bolivar,VE,76.78,overcast clouds,8.1222,-63.5497,Hotel Edi
538,Natal,BR,79.02,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
543,Ranong,TH,87.73,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
544,Dingle,PH,88.43,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
550,Finschhafen,PG,84.61,overcast clouds,-6.6024,147.8681,Cossam Guest House
552,Guanare,VE,77.05,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
559,Xiamen,CN,80.65,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
562,Magomeni,TZ,79.5,overcast clouds,-6.8,39.25,Protea Hotel by Marriott Dar es Salaam Courtyard
567,Bela,IN,84.92,clear sky,25.9333,81.9833,Raj Bhawan
568,Bluefields,NI,75.67,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
569,Pocri,PA,76.32,broken clouds,8.2667,-80.55,Residencial Aguadulce
571,Beterou,BJ,79.74,overcast clouds,9.1992,2.2586,Monastère de Kokoubou
573,Hue,VN,78.91,scattered clouds,16.4667,107.6,Saigon Morin Hotel
577,Flinders,AU,77.18,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
578,Long Xuyen,VN,84.15,broken clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
580,Pamekasan,ID,85.86,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
581,Korhogo,CI,76.42,light rain,9.45,-5.6333,Hôtel Tchinbota
585,Saint-Leu,RE,77.32,light rain,-21.15,55.2833,La Caz Oceane
586,Balao,EC,75.85,light rain,-2.9167,-79.8167,Gilson Stalin Lucas S
594,Nawalapitiya,LK,80.87,broken clouds,7.0559,80.5348,Binara Villa
595,Jalingo,NG,76.35,overcast clouds,8.8833,11.3667,Debright Motel
597,Sur,OM,83.61,few clouds,22.5667,59.5289,Sur Plaza Hotel
598,Mont-Dore,NC,84.0,light rain,-22.2833,166.5833,GIte
600,Sorong,ID,83.93,broken clouds,-0.8833,131.25,Waigo Splash Hotel
