City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
129,Baykit,RU,2022-03-14 03:37:23,61.67,96.37,1.02,88,91,1.54,overcast clouds
130,Castro,BR,2022-03-14 03:37:24,-24.7911,-50.0119,63.19,98,100,2.98,light rain
131,Barrow,US,2022-03-14 03:37:24,71.2906,-156.7887,1.42,78,100,12.66,overcast clouds
132,Gurupi,BR,2022-03-14 03:37:24,-11.7292,-49.0686,73.99,89,87,0.67,overcast clouds
133,Rio Gallegos,AR,2022-03-14 03:37:25,-51.6226,-69.2181,42.85,81,0,29.93,clear sky
134,Strezhevoy,RU,2022-03-14 03:37:25,60.7333,77.5889,4.26,95,100,2.71,overcast clouds
135,North Bend,US,2022-03-14 03:37:25,43.4065,-124.2243,50.86,88,100,6.91,overcast clouds
136,Mbaiki,CF,2022-03-14 03:37:25,3.8678,17.9892,69.66,83,39,2.08,scattered clouds
137,Soe,ID,2022-03-14 03:37:26,-9.8607,124.284,82.04,58,81,4.41,broken clouds
138,Altay,CN,2022-03-14 03:37:26,47.8667,88.1167,33.39,88,80,5.95,broken clouds
139,Tautira,PF,2022-03-14 03:37:26,-17.7333,-149.15,81.05,74,76,8.05,broken clouds
140,Namwala,ZM,2022-03-14 03:37:26,-15.7504,26.4384,62.96,97,90,2.33,overcast clouds
141,Sorland,NO,2022-03-14 03:37:27,67.667,12.6934,40.23,77,100,13.67,overcast clouds
142,Chokurdakh,RU,2022-03-14 03:37:27,70.6333,147.9167,-3.91,86,100,5.48,overcast clouds
143,Yabrud,SY,2022-03-14 03:37:27,33.9674,36.6574,24.78,81,50,0.78,scattered clouds
144,Waipawa,NZ,2022-03-14 03:37:28,-41.4122,175.5153,58.95,64,100,7.34,overcast clouds
145,Pevek,RU,2022-03-14 03:37:28,69.7008,170.3133,-10.32,96,97,3.31,overcast clouds
146,San Patricio,US,2022-03-14 03:37:28,28.017,-97.5169,64.26,76,85,9.44,overcast clouds
147,Teya,RU,2022-03-14 03:37:28,60.3778,92.6267,3.65,83,55,1.23,broken clouds
148,Avarua,CK,2022-03-14 03:34:24,-21.2078,-159.775,84.25,74,20,5.75,few clouds
149,Castrovillari,IT,2022-03-14 03:37:29,39.8203,16.2123,36.0,81,0,2.08,clear sky
150,Nabire,ID,2022-03-14 03:37:29,-3.3667,135.4833,84.94,73,99,4.9,overcast clouds
151,Luanda,AO,2022-03-14 03:37:29,-8.8368,13.2343,77.25,83,100,6.24,overcast clouds
152,Touros,BR,2022-03-14 03:37:29,-5.1989,-35.4608,79.11,83,90,6.55,overcast clouds
153,Farah,AF,2022-03-14 03:37:30,32.5,62.5,70.45,33,100,4.65,overcast clouds
154,Ahipara,NZ,2022-03-14 03:37:30,-35.1667,173.1667,72.64,61,14,4.85,few clouds
155,Nicolas De Pierola,PE,2022-03-14 03:37:30,-11.95,-76.7,60.6,79,100,2.37,overcast clouds
156,Oksfjord,NO,2022-03-14 03:37:31,70.2396,22.3479,21.27,69,98,8.05,overcast clouds
157,La Ronge,CA,2022-03-14 03:37:31,55.1001,-105.2842,3.45,60,40,8.05,scattered clouds
158,Big Spring,US,2022-03-14 03:35:08,32.2504,-101.4787,56.23,27,0,21.85,clear sky
159,Cayenne,GF,2022-03-14 03:37:31,4.9333,-52.3333,74.08,1,75,3.44,heavy intensity rain
160,Kawalu,ID,2022-03-14 03:37:31,-7.3817,108.2082,87.46,58,97,4.27,overcast clouds
161,Tuatapere,NZ,2022-03-14 03:37:32,-46.1333,167.6833,62.55,68,85,9.51,overcast clouds
162,Berlevag,NO,2022-03-14 03:37:32,70.8578,29.0864,35.6,86,84,14.25,broken clouds
163,Fortuna,US,2022-03-14 03:34:05,40.5982,-124.1573,50.67,77,0,0.0,clear sky
164,Shelburne,CA,2022-03-14 03:33:14,44.0787,-80.2041,27.12,87,90,14.14,overcast clouds
165,Alta Floresta,BR,2022-03-14 03:34:26,-9.8756,-56.0861,71.76,96,100,1.57,overcast clouds
166,Kokkarion,GR,2022-03-14 03:37:33,37.7764,26.8939,41.92,52,20,6.91,few clouds
167,Tuktoyaktuk,CA,2022-03-14 03:37:33,69.4541,-133.0374,-7.6,77,75,12.66,broken clouds
168,Ovsyanka,RU,2022-03-14 03:37:33,55.9575,92.5519,1.22,85,100,5.23,overcast clouds
169,Wasilla,US,2022-03-14 03:33:19,61.5814,-149.4394,27.73,50,20,23.02,few clouds
170,Northam,GB,2022-03-14 03:37:34,51.0333,-4.2167,41.61,94,66,5.23,broken clouds
171,Lubao,PH,2022-03-14 03:37:34,14.9167,120.55,91.47,51,39,7.05,scattered clouds
172,Komsomolskiy,UZ,2022-03-14 03:35:42,40.4272,71.7189,50.72,93,75,4.61,mist
173,Katsuura,JP,2022-03-14 03:37:34,35.1333,140.3,67.51,67,9,18.5,clear sky
174,Sambava,MG,2022-03-14 03:37:34,-14.2667,50.1667,75.96,82,94,7.14,overcast clouds
175,Porbandar,IN,2022-03-14 03:37:35,21.6422,69.6093,76.98,53,3,0.0,clear sky
176,Cherskiy,RU,2022-03-14 03:37:35,68.75,161.3,-5.24,93,98,4.88,overcast clouds
177,Cabedelo,BR,2022-03-14 03:37:35,-6.9811,-34.8339,77.67,79,93,8.9,overcast clouds
178,Yellowknife,CA,2022-03-14 03:37:36,62.456,-114.3525,-10.68,70,0,4.61,clear sky
179,Lindon,US,2022-03-14 03:37:36,40.3433,-111.7208,38.39,80,99,8.99,overcast clouds
180,Skibbereen,IE,2022-03-14 03:37:36,51.55,-9.2667,42.12,82,2,9.42,clear sky
181,Iqaluit,CA,2022-03-14 03:35:44,63.7506,-68.5145,-23.31,74,20,15.01,few clouds
182,Provideniya,RU,2022-03-14 03:37:36,64.3833,-173.3,21.36,53,0,11.18,clear sky
183,Laguna,US,2022-03-14 03:37:37,38.421,-121.4238,59.45,51,0,8.05,clear sky
184,Dunedin,NZ,2022-03-14 03:33:22,-45.8742,170.5036,63.7,67,45,4.38,scattered clouds
185,Mogadishu,SO,2022-03-14 03:33:41,2.0371,45.3438,76.87,83,40,9.22,scattered clouds
186,Makakilo City,US,2022-03-14 03:37:37,21.3469,-158.0858,80.92,57,100,17.27,overcast clouds
187,Katobu,ID,2022-03-14 03:37:37,-4.9408,122.5276,84.99,74,63,3.38,broken clouds
188,Guerrero Negro,MX,2022-03-14 03:37:38,27.9769,-114.0611,59.09,80,2,16.04,clear sky
189,Comodoro Rivadavia,AR,2022-03-14 03:37:38,-45.8667,-67.5,64.26,36,0,12.66,clear sky
190,Norman Wells,CA,2022-03-14 03:37:38,65.282,-126.8329,-11.16,58,20,3.44,few clouds
191,Kaeo,NZ,2022-03-14 03:37:39,-35.1,173.7833,71.4,70,30,6.76,scattered clouds
192,Girvan,GB,2022-03-14 03:37:39,55.2426,-4.8555,44.6,91,53,9.69,broken clouds
193,Penzance,GB,2022-03-14 03:37:39,50.1186,-5.5371,38.08,74,99,5.06,overcast clouds
194,Tolaga Bay,NZ,2022-03-14 03:37:39,-38.3667,178.3,64.54,86,100,12.55,overcast clouds
195,Grindavik,IS,2022-03-14 03:37:40,63.8424,-22.4338,37.35,87,75,23.02,broken clouds
196,Popondetta,PG,2022-03-14 03:37:40,-8.7537,148.2534,88.54,62,50,3.29,scattered clouds
197,Svetlaya,RU,2022-03-14 03:37:40,46.5389,138.3297,33.31,84,98,4.88,overcast clouds
198,Isangel,VU,2022-03-14 03:37:40,-19.55,169.2667,86.11,79,58,3.44,broken clouds
199,Pontianak,ID,2022-03-14 03:37:41,-0.0333,109.3333,87.78,62,20,3.44,few clouds
200,Kalanguy,RU,2022-03-14 03:37:41,51.0167,116.5167,19.44,88,100,6.58,light snow
201,Carutapera,BR,2022-03-14 03:37:41,-1.195,-46.02,75.78,94,100,3.15,light rain
202,Cap Malheureux,MU,2022-03-14 03:37:42,-19.9842,57.6142,81.46,80,100,5.01,overcast clouds
203,Inongo,CD,2022-03-14 03:37:42,-1.95,18.2667,72.41,88,95,2.37,overcast clouds
204,Lebu,CL,2022-03-14 03:37:42,-37.6167,-73.65,56.01,87,1,16.06,clear sky
205,Aguimes,ES,2022-03-14 03:37:42,27.9054,-15.4461,59.67,77,20,16.11,few clouds
206,Tual,ID,2022-03-14 03:37:43,-5.6667,132.75,82.35,77,100,15.03,heavy intensity rain
207,Konstantinovka,RU,2022-03-14 03:37:43,49.6167,127.9833,23.34,83,100,5.44,overcast clouds
208,Vanino,RU,2022-03-14 03:37:43,49.0869,140.2543,29.44,82,100,3.74,overcast clouds
209,Benjamin Hill,MX,2022-03-14 03:37:43,30.1667,-111.1,61.72,16,0,6.35,clear sky
210,Ilheus,BR,2022-03-14 03:37:44,-14.7889,-39.0494,75.92,87,99,1.1,overcast clouds
211,The Valley,AI,2022-03-14 03:37:44,18.217,-63.0578,77.09,77,4,24.34,clear sky
212,Sibolga,ID,2022-03-14 03:37:44,1.7427,98.7792,85.51,68,75,4.23,broken clouds
213,Port Hardy,CA,2022-03-14 03:37:45,50.6996,-127.4199,46.58,81,100,8.05,light intensity shower rain
214,Beaverlodge,CA,2022-03-14 03:37:45,55.2166,-119.4361,6.15,93,100,8.79,overcast clouds
215,Yulara,AU,2022-03-14 03:37:45,-25.2406,130.9889,96.64,11,47,5.75,scattered clouds
216,Romos,RO,2022-03-14 03:37:45,45.8333,23.2833,29.52,63,0,3.09,clear sky
217,Jiblah,YE,2022-03-14 03:37:46,13.9216,44.1467,57.63,77,72,1.7,broken clouds
218,Boa Vista,BR,2022-03-14 03:37:46,2.8197,-60.6733,84.18,61,20,4.61,few clouds
219,Butaritari,KI,2022-03-14 03:37:46,3.0707,172.7902,81.68,74,4,18.39,clear sky
220,Pangnirtung,CA,2022-03-14 03:33:16,66.1451,-65.7125,-28.3,90,17,5.35,few clouds
221,Aragarcas,BR,2022-03-14 03:37:47,-15.8975,-52.2508,72.91,93,94,1.57,overcast clouds
222,Bozoum,CF,2022-03-14 03:37:47,6.3193,16.3799,74.53,38,54,2.82,broken clouds
